"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/29/2000","400219002","1","0.054","ppm","46","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/01/2000","400219002","1","0.046","ppm","39","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/02/2000","400219002","1","0.041","ppm","35","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/03/2000","400219002","1","0.029","ppm","25","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/04/2000","400219002","1","0.048","ppm","41","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/05/2000","400219002","1","0.053","ppm","45","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/06/2000","400219002","1","0.05","ppm","42","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/07/2000","400219002","1","0.046","ppm","39","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/08/2000","400219002","1","0.053","ppm","45","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/09/2000","400219002","1","0.032","ppm","27","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/10/2000","400219002","1","0.023","ppm","19","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/11/2000","400219002","1","0.042","ppm","36","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/12/2000","400219002","1","0.051","ppm","43","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/13/2000","400219002","1","0.059","ppm","50","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/14/2000","400219002","1","0.068","ppm","77","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/16/2000","400219002","1","0.019","ppm","16","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/17/2000","400219002","1","0.035","ppm","30","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/18/2000","400219002","1","0.03","ppm","25","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/19/2000","400219002","1","0.024","ppm","20","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/20/2000","400219002","1","0.056","ppm","47","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/21/2000","400219002","1","0.05","ppm","42","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/22/2000","400219002","1","0.047","ppm","40","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/23/2000","400219002","1","0.055","ppm","47","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/25/2000","400219002","1","0.057","ppm","48","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/26/2000","400219002","1","0.045","ppm","38","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/27/2000","400219002","1","0.052","ppm","44","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/28/2000","400219002","1","0.047","ppm","40","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/29/2000","400219002","1","0.042","ppm","36","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/30/2000","400219002","1","0.037","ppm","31","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"03/31/2000","400219002","1","0.056","ppm","47","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/01/2000","400219002","1","0.037","ppm","31","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/02/2000","400219002","1","0.042","ppm","36","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/03/2000","400219002","1","0.044","ppm","37","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/04/2000","400219002","1","0.047","ppm","40","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/06/2000","400219002","1","0.061","ppm","54","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/08/2000","400219002","1","0.047","ppm","40","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/09/2000","400219002","1","0.058","ppm","49","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/10/2000","400219002","1","0.052","ppm","44","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/11/2000","400219002","1","0.046","ppm","39","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/12/2000","400219002","1","0.039","ppm","33","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/13/2000","400219002","1","0.058","ppm","49","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/14/2000","400219002","1","0.047","ppm","40","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/15/2000","400219002","1","0.053","ppm","45","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/16/2000","400219002","1","0.033","ppm","28","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/17/2000","400219002","1","0.042","ppm","36","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
"04/18/2000","400219002","1","0.06","ppm","51","24","100.0000","44201","Ozone","45140","Tahlequah, OK","40","Oklahoma","021","Cherokee","35.854080000896","-94.985964"
