"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2000","090010017","1","0.042","ppm","36","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/02/2000","090010017","1","0.047","ppm","40","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/03/2000","090010017","1","0.034","ppm","29","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/04/2000","090010017","1","0.036","ppm","31","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/05/2000","090010017","1","0.04","ppm","34","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/06/2000","090010017","1","0.04","ppm","34","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/07/2000","090010017","1","0.049","ppm","42","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/08/2000","090010017","1","0.059","ppm","50","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/09/2000","090010017","1","0.043","ppm","36","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/10/2000","090010017","1","0.044","ppm","37","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/11/2000","090010017","1","0.04","ppm","34","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/12/2000","090010017","1","0.046","ppm","39","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/13/2000","090010017","1","0.043","ppm","36","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/14/2000","090010017","1","0.044","ppm","37","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/15/2000","090010017","1","0.027","ppm","23","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/16/2000","090010017","1","0.035","ppm","30","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/17/2000","090010017","1","0.044","ppm","37","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/18/2000","090010017","1","0.038","ppm","32","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/19/2000","090010017","1","0.042","ppm","36","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/20/2000","090010017","1","0.04","ppm","34","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/21/2000","090010017","1","0.043","ppm","36","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/22/2000","090010017","1","0.039","ppm","33","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/23/2000","090010017","1","0.031","ppm","26","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/24/2000","090010017","1","0.053","ppm","45","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/25/2000","090010017","1","0.044","ppm","37","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/26/2000","090010017","1","0.037","ppm","31","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/27/2000","090010017","1","0.029","ppm","25","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/28/2000","090010017","1","0.033","ppm","28","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/29/2000","090010017","1","0.049","ppm","42","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"04/30/2000","090010017","1","0.053","ppm","45","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/01/2000","090010017","1","0.048","ppm","41","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/02/2000","090010017","1","0.053","ppm","45","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/03/2000","090010017","1","0.054","ppm","46","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/04/2000","090010017","1","0.056","ppm","47","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/05/2000","090010017","1","0.057","ppm","48","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/06/2000","090010017","1","0.08","ppm","111","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/07/2000","090010017","1","0.085","ppm","124","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/08/2000","090010017","1","0.068","ppm","77","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/09/2000","090010017","1","0.076","ppm","101","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/10/2000","090010017","1","0.041","ppm","35","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/11/2000","090010017","1","0.051","ppm","43","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/12/2000","090010017","1","0.04","ppm","34","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/13/2000","090010017","1","0.042","ppm","36","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
"05/14/2000","090010017","1","0.051","ppm","43","24","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0036110009343","-73.585"
